LANG=zh PROB=1
[23:11-23:12] 每個周之間的通信
[23:12-23:14] 都需要各自的路由器
[23:14-23:15] 來穿搭
[23:15-23:16] 每個周內部的通信
[23:16-23:17] 也需要路由器
[23:17-23:18] 來穿搭
[23:18-23:19] 現在包括
[23:19-23:20] 山水聯動的
[23:20-23:21] 猴子們知道
[23:21-23:22] 他們的老大
[23:22-23:23] 孫孟空
[23:23-23:24] 困在五指山
[23:24-23:25] 想紀念桃子過去
[23:25-23:26] 那麼首先
[23:26-23:27] 桃子需要經過
[23:27-23:29] 他們自己周的路由器
[23:29-23:30] 路由器查看了
[23:30-23:31] 目標地址以後
[23:31-23:33] 發現不是自己周的
[23:33-23:34] 怎麼發現的呢
[23:34-23:36] 路由器就是查看了
[23:36-23:38] 網路號不是自己周的
[23:38-23:39] 而是屬於
[23:39-23:40] 南瞻不周的
[23:40-23:41] 於是果算
[23:41-23:42] 包網南瞻不周
[23:42-23:43] 南瞻不周的路由器
[23:43-23:44] 說到這裏
[23:44-23:45] 桃子以後
[23:45-23:47] 就先查看目標地址
[23:47-23:48] 是不是自己周的
[23:48-23:49] ID地址
[23:49-23:50] 結果是自己周的
[23:50-23:51] 而且主機號
[23:51-23:53] 顯示要送去五指山的
[23:53-23:55] 於是把桃子
[23:55-23:56] 送往布地地
[23:56-23:57] 五指山
[23:57-23:58] 這也就說明
[23:58-23:59] 為什麼ID地址
[23:59-24:00] 總是會有網路號
[24:00-24:01] 和主機號
[24:01-24:02] 兩個部分
[24:02-24:03] 不過ID地址
[24:03-24:04] 一刀下去
[24:04-24:05] 一半為網路號
[24:05-24:06] 一半為主機號的
[24:06-24:07] 而是有分類的
[24:07-24:08] ID地址
[24:08-24:10] 放分為APCD一類
[24:10-24:11] 除了第一和一
[24:11-24:12] 是特殊類
[24:12-24:13] 我們把它焦點
[24:13-24:14] 放在每一類的
[24:14-24:15] 網路數和主機數
[24:15-24:16] 可以分出
[24:16-24:17] 每一類的網路數
[24:17-24:18] 要多
[24:18-24:19] 要很少
[24:19-24:20] 主機數也是一樣的情況
[24:20-24:21] 假設
[24:21-24:22] COG的南瞻不周
[24:22-24:23] 被分配的
[24:23-24:24] 一個C類
[24:24-24:26] 網路號195.10.10X
[24:26-24:28] 這個C類地址
[24:28-24:29] 理論上可以有
[24:29-24:30] 256個主機數
[24:30-24:32] 因為195.10.10.0
[24:32-24:35] 到195.10.10.25
[24:35-24:37] 一共有256個主機數
[24:37-24:38] 但是
[24:38-24:39] 如果南瞻不周
[24:39-24:40] 實際需要
[24:40-24:42] 257個地址
[24:42-24:43] 那麼
[24:43-24:44] 我們需要
[24:44-24:45] 再分配一個
[24:45-24:46] 新的C類地址
[24:46-24:47] 連南瞻不周
[24:47-24:48] 因為整理論上
[24:48-24:49] 就會浪費
[24:49-24:50] 255個地址
[24:50-24:52] 因為新的C類地址
[24:52-24:53] 也是一樣
[24:53-24:54] 分配了
[24:54-24:55] 256個主機數
[24:55-24:56] 我們再看看
[24:56-24:57] 連據路中
[24:57-24:58] 這個中
[24:58-24:59] 也被分配了
[24:59-25:00] 一個C類網路號
[25:00-25:01] 地址是
[25:01-25:03] 255.10.20.10X
[25:03-25:04] 同樣
[25:04-25:05] 可以用
[25:05-25:06] 跑到16個主機數
[25:06-25:07] 但是這個中
[25:07-25:08] 只需要用到
[25:08-25:09] 一個IP地址
[25:09-25:10] 因為整理這個中
[25:10-25:12] 256個主機數
[25:12-25:13] 明顯是太多了
[25:13-25:14] 為了解決
[25:14-25:15] 簡單分類
[25:15-25:16] 導致的IP
[25:16-25:17] 分配合理
[25:17-25:18] 就當同時
[25:18-25:19] 網路聯盟
[25:19-25:20] 而現在
[25:20-25:21] 我們為東盛神舟
[25:21-25:22] 分配了
[25:22-25:23] 一個C類地址
[25:23-25:25] 192.168.0.X
[25:25-25:26] 但是
[25:26-25:27] 東盛神舟
[25:27-25:28] 只有4個主機
[25:28-25:29] 只需要4個
[25:29-25:30] 不同的IP
[25:30-25:31] 我們知道
[25:31-25:32] 這個平時的範圍
[25:32-25:33] 可以是
[25:33-25:34] 領導255
[25:34-25:35] 在這裡
[25:35-25:36] 我們不考慮特殊地址
[25:36-25:37] 先理解這個概念
[25:37-25:38] 因此
[25:38-25:40] 可以只要到領導3
[25:40-25:41] 增加了
[25:41-25:42] 4到255的地址
[25:42-25:43] 都一樣
[25:43-25:44] 因為領導3
[25:44-25:45] 就有4個地址
[25:45-25:46] 這樣
[25:46-25:47] 我們就必須
[25:47-25:48] 用一種方法
[25:48-25:49] 來表示
[25:49-25:50] 這4個IP地址
[25:50-25:51] 同數
[25:51-25:52] 一個網路
[25:52-25:53] 因此
[25:53-25:54] 我們就需要
[25:54-25:55] 用到
[25:55-25:56] 直網的研碼
[25:56-25:57] 直網的研碼
[25:57-25:58] 其實
[25:58-25:59] 192.168.0.0
[25:59-26:02] 到192.168.0.3的網路
[26:02-26:03] 先把這些
[26:03-26:04] 實定值的IP地址
[26:04-26:05] 轉換為2金值
[26:05-26:06] 剛剛說了
[26:06-26:07] 分配的地址
[26:07-26:09] 為192.168.0.X
[26:09-26:10] 也就證明
[26:10-26:12] 前面的192.168.0
[26:12-26:13] 是不面的
[26:13-26:14] 一定要用來
[26:14-26:15] 作為
[26:15-26:16] 廣播化的部分
[26:16-26:17] 因此
[26:17-26:18] 我們就用
[26:18-26:19] 2金值的音
[26:19-26:20] 來表示鎖定
[26:20-26:21] 前面3個部分的
[26:21-26:22] 2金值
[26:22-26:23] 也就鎖定了
[26:23-26:24] 24為2金值
[26:24-26:25] 現在剩下
[26:25-26:26] 最後的8位
[26:26-26:27] 2金值
[26:27-26:28] 老師可以看到
[26:28-26:29] 前面6位
[26:29-26:30] 2金值數
[26:30-26:31] 也是相同的
[26:31-26:32] 都是0
[26:32-26:33] 因此
[26:33-26:34] 我們把這6位
[26:34-26:35] 也鎖定起來
[26:35-26:36] 和剛剛一樣
[26:36-26:37] 用2金值的1
[26:37-26:38] 進行鎖定
[26:38-26:39] 剩下的2位
[26:39-26:40] 不需要鎖定
[26:40-26:41] 也不能鎖定
[26:41-26:42] 因為剩下的
[26:42-26:43] 就是主機號
[26:43-26:44] 一直用0
[26:44-26:45] 來表示鎖定
[26:45-26:46] 現在
[26:46-26:47] 有1鎖定
[26:47-26:48] 0鎖定
[26:48-26:49] 結合起來
[26:49-26:51] 就非常地清晰了
[26:51-26:53] 比如192.168.0.4
[26:53-26:54] 就肯定不是
[26:54-26:55] 同一個網路的
[26:55-26:57] 最後192.168.0.3的
[26:57-26:58] 2金值
[26:58-26:59] 如果加上1
[26:59-27:00] 就會變成這樣
[27:00-27:02] 從鎖定的位來看
[27:02-27:03] 就明顯少了1位
[27:03-27:04] 因此
[27:04-27:05] 不是同一個網路
[27:05-27:06] 現在我們就可以
[27:06-27:07] 把鎖定
[27:07-27:08] 部分的2金值
[27:08-27:09] 當分為
[27:09-27:10] 10金值的8個
[27:10-27:11] 2金值的1
[27:11-27:12] 會得到255
[27:12-27:14] 也就是3組255
[27:14-27:15] 就會主
[27:15-27:16] 只有前面的
[27:16-27:17] 6位
[27:17-27:18] 12金值1
[27:18-27:19] 用前面說到的神器
[27:19-27:20] 也就是
[27:20-27:21] 128加64
[27:21-27:22] 加32加16
[27:22-27:23] 加8加10
[27:23-27:24] 得到252
[27:24-27:25] 那麼這個
[27:25-27:27] 255.255.255.255.252
[27:27-27:29] 就是指望的年碼了
[27:29-27:30] 我們就可以
[27:30-27:31] 把這些指望的年碼
[27:31-27:32] 而同色神就在
[27:32-27:33] 比地址值放在一起
[27:33-27:34] 這樣別人看到
[27:34-27:35] 就知道
[27:35-27:36] 網路的話
[27:36-27:37] 我們直接放在界線
[27:37-27:38] 在哪裡了
[27:38-27:39] 不過這種指望的年碼
[27:39-27:40] 顯起來很差
[27:40-27:41] 因此可以用一種
[27:41-27:42] 像
[27:42-27:43] 西亞尼亞的方法
[27:43-27:44] 來表示
[27:44-27:45] 我們可以看到
[27:45-27:46] 這裡一共有30個
[27:46-27:47] 因此就用
[27:47-27:48] 斜桿30
[27:48-27:49] 來表示
[27:49-27:50] 指望的年碼
[27:50-27:51] 就可以了
[27:51-27:52] 也就是用198.0
[27:52-27:53] 198.0.3
[27:53-27:54] 30
[27:54-27:55] 就可以表示
[27:55-27:56] 這四個主機
[27:56-27:57] 都處於
[27:57-27:58] 同一個網路裡面了
[27:58-27:59] 要注意的是
[27:59-28:00] 最後的一位
[28:00-28:01] 是0不寫為1
[28:01-28:02] 2或者3
[28:02-28:03] 而是用
[28:03-28:04] 其實的0
[28:04-28:05] 來做表示
[28:05-28:06] 指望年碼的
[28:06-28:07] 原理以後
[28:07-28:08] 我們就可以
[28:08-28:09] 根據IP地址
[28:09-28:10] 而指望年碼
[28:10-28:11] 取分網路的話
[28:11-28:12] 重新好了
[28:12-28:13] 比如這裡
[28:13-28:14] 有個IP地址
[28:14-28:15] 而指望年碼
[28:15-28:16] 大家能看出
[28:16-28:17] 哪裡是網路的話
[28:17-28:18] 哪裡是年號嗎
[28:18-28:19] 大家一下子看出
[28:19-28:20] 它肯定是
[28:20-28:21] 西川高手
[28:21-28:22] 首先地點
[28:22-28:24] 兩個是8和2禁之1
[28:24-28:25] 剛剛說過
[28:25-28:26] 2禁之1
[28:26-28:27] 就是因為
[28:27-28:28] 一次IP地址的
[28:28-28:29] 前16位
[28:29-28:31] 肯定是屬於網路號的
[28:31-28:32] 我們也無需
[28:32-28:33] 把192.168的
[28:33-28:34] 2禁字
[28:34-28:35] 可以寫出來
[28:35-28:36] 接下來
[28:36-28:37] 需要把50和192
[28:37-28:38] 再多禁止
[28:38-28:39] 寫出來
[28:39-28:40] 指望年碼
[28:40-28:41] 只有兩個1
[28:41-28:42] 鎖定了
[28:42-28:43] 前面的兩個0
[28:43-28:44] 也就是說
[28:44-28:45] 只要前面
[28:45-28:46] 這是2禁之1
[28:46-28:47] 對一個IP地址
[28:47-28:48] 數字不變
[28:48-28:49] 其他方面的
[28:49-28:50] 都可以用來
[28:50-28:51] 做主機號
[28:51-28:52] 後半部分
[28:52-28:53] 50.10
[28:53-28:54] 是沒有
[28:54-28:55] 超過鎖定部分的
[28:55-28:56] 即使現在
[28:56-28:58] 2禁之再加1
[28:58-28:59] 也不會影響到
[28:59-29:00] 第三部分
[29:00-29:01] 前兩位
[29:01-29:02] 鎖定位置
[29:02-29:03] 第四部分的
[29:03-29:04] 2禁之
[29:04-29:05] 其實也不需要寫出來
[29:05-29:06] 因此
[29:06-29:07] 這個IP地址的
[29:07-29:08] 主機部分
[29:08-29:09] 就是50.10
[29:09-29:10] 網路部分
[29:10-29:11] 就是192.168
[29:11-29:13] 因為鎖定的部分
[29:13-29:14] 一共有
[29:14-29:15] 18.1
[29:15-29:16] CRD2的寫法
[29:16-29:18] 就是192.168.0.0
[29:18-29:19] -18
[29:19-29:20] 如果這裡
[29:20-29:21] 可以一直往上數
[29:21-29:23] 比如192.168.0.0.0.1
[29:23-29:25] -0.20.3等等
[29:25-29:26] 是屬於
[29:26-29:27] 同一個網路號的
[29:27-29:28] 我們前面
[29:28-29:29] 所說的
[29:29-29:30] 都是IP地址
[29:30-29:31] 即使有了分類
[29:31-29:32] 和之外
[29:32-29:33] 你也把IP地址
[29:33-29:34] IP的劃分
[29:34-29:35] 還面對
[29:35-29:36] 搭檔訊的互聯網來說
[29:36-29:37] 地址
[29:37-29:38] 肯定是不夠的
[29:38-29:39] 於是就有了IP地址
[29:39-29:40] 我們以後
[29:40-29:41] 還會講天
[29:41-29:42] 以下就是
[29:42-29:43] 本期的視頻內容
[29:43-29:44] 如果你喜歡我的視頻
[29:44-29:45] 拜丁
[29:45-29:46] 好
[29:46-29:47] 那是在
[29:47-29:48] 就快速的
[29:48-29:49] 這個
[29:49-29:53] 什麼是
[29:53-29:55] 其實我們要去分辨
[29:55-29:56] 它是屬於
[29:56-29:57] 同一個
[29:57-29:58] 很短度的狀況
[29:58-29:59] 那我們怎麼樣
[29:59-30:00] 可以去
[30:00-30:01] 它是對
[30:01-30:02] 這兩個
[30:02-30:03] 就有幾個團隊
[30:03-30:04] 有幾個
[30:04-30:06] 我們要
[30:06-30:07] 格外的
[30:07-30:08] 比如
[30:08-30:09] 我們還可以
[30:09-30:10] 做
[30:10-30:12] 做
[30:12-30:13] 計算
[30:13-30:14] 我們計到
[30:14-30:15] 現在是
[30:15-30:16] 有什麼關係
[30:17-30:18] 好
[30:18-30:19] 那我們先消息一下
[30:19-30:20] 等一下
[30:20-30:21] 下水單
[30:21-30:22] 好
